month,year,house_value,mortgage_balance,homeowner_net_worth,homeowner_stock_portfolio,homeowner_stock_contribution,investor_net_worth,investor_stock_portfolio,investor_stock_contribution,stock_net_worth,gross_stock_portfolio,stock_loan_balance,monthly_rent,investment_property_rental_income,stock_contribution,renter_spendable_cash,homeowner_spendable_cash,investor_spendable_cash
71,5.916666666666667,1859725.7355027038,852056.3042759907,1094737.0034529192,87067.57222620597,1000,1312405.9340184338,304736.5027917207,3500,478084.34938939,665356.7441341284,187272.39474473847,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
72,6.0,1865364.8865667044,848027.687130249,1105897.0643745568,88559.86493810135,1000,1327296.72671981,309959.5272833545,3500,484570.2528811749,671618.7678999534,187048.5150187785,5520.404016,8280.606024,2500,2550.8000314799137,3500,3760.202008
73,6.083333333333333,1871021.1369395521,843982.6568995786,1117099.0753299238,90060.59528995035,1000,1342250.5635547994,315212.08351482596,3500,491093.00321464916,677916.1980585698,186823.19484392065,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
74,6.166666666666667,1876694.5384706054,839921.14671504,1128343.2027449615,91569.81098939599,1000,1357267.730218451,320494.3384628857,3500,497652.8098505966,684249.23480287,186596.42495227337,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
75,6.25,1882385.1431664422,835843.0894352609,1139629.6137450086,93087.56001382726,1000,1372348.5137795764,325806.46004839515,3500,504249.88344135095,690618.0794576661,186368.1960163152,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
76,6.333333333333333,1888093.003191338,831748.4176453272,1150958.4761579148,94613.89061190425,1000,1387493.2026876751,331148.6171416646,3500,510884.4358375793,697022.9344860904,186138.49864851113,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
77,6.416666666666667,1893818.1708677427,827637.0636556678,1162329.958517167,96148.85130509202,1000,1402702.0867798969,336520.9795678218,3500,517556.6800951043,703464.0034960307,185907.32340092637,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
78,6.5,1899560.6986767615,823508.9595009362,1173744.2300650284,97692.49088920302,1000,1417975.4572880357,341923.7181122103,3500,524266.83048176544,709941.4912466034,185674.660764838,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
79,6.583333333333333,1905320.639258635,819364.0369388865,1185201.460755697,99244.85843594834,1000,1433313.6068455675,347357.0045258189,3500,531015.1024843196,716455.6036546631,185440.50117034354,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
80,6.666666666666667,1911098.0454132222,815202.2274492454,1196701.8212584746,100806.00329449764,1000,1448716.8294947185,352821.01153074147,3500,537801.7128153802,723006.5478013478,185204.83498596755,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
81,6.75,1916892.9701004843,811023.4622325795,1208245.482960953,102375.97509304798,1000,1464185.4206935726,358315.91282566765,3500,544626.8794203972,729594.5319386626,184967.65251826541,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
82,6.833333333333333,1922705.4664409703,806827.6722091581,1219832.6179722138,103954.82374040145,1000,1479719.677323217,363841.8830914048,3500,551490.8214846752,736219.7654960997,184728.9440114245,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
83,6.916666666666667,1928535.5877163042,802614.788017811,1231463.399126045,105542.59942755177,1000,1495319.8976949241,369399.09799643094,3500,558393.759440433,742882.459087296,184488.69964686304,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
84,7.0,1934383.3873696728,798384.7400147823,1243137.9999841703,107139.35262927983,1000,1510986.3815573696,374987.7342024791,3500,565335.9149739025,749582.8245167288,184246.90954282624,5630.81209632,8446.21814448,2500,2440.3919511599142,3500,3815.406048160001
85,7.083333333333333,1940248.919006316,794137.4582725784,1254856.5948394958,108745.13410575826,1000,1526719.430103891,380607.9693701536,3500,572317.5110324685,756321.0747864483,184003.56375397975,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
86,7.166666666666667,1946132.2363940182,789872.8725788128,1266619.3587193706,110359.9949041651,1000,1542519.345979783,386259.9821645776,3500,579338.7718318487,763097.4241028494,183758.65227100073,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
87,7.25,1952033.3934636011,785590.9124350448,1278426.467388863,111983.98636030655,1000,1558386.433289629,391943.95226107264,3500,586399.9228633156,769912.0878834814,183512.1650201659,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
88,7.333333333333333,1957952.444309418,781291.5070556144,1290278.0973540526,113617.16010024893,1000,1574320.9976046747,397660.060350871,3500,593501.1909009579,776765.2827638953,183264.0918629375,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
